Age,Gender,Item Purchased,Category,Location,Discount Applied,Previous Purchases
55,Male,Blouse,Clothing,Kentucky,Yes,14
19,Male,Sweater,Clothing,Maine,Yes,2
50,Male,Jeans,Clothing,Massachusetts,Yes,23
21,Male,Sandals,Footwear,Rhode Island,Yes,49
45,Male,Blouse,Clothing,Oregon,Yes,31
46,Male,Sneakers,Footwear,Wyoming,Yes,14
63,Male,Shirt,Clothing,Montana,Yes,49
27,Male,Shorts,Clothing,Louisiana,Yes,19
26,Male,Coat,Outerwear,West Virginia,Yes,8
57,Male,Handbag,Accessories,Missouri,Yes,4
53,Male,Shoes,Footwear,Arkansas,Yes,26
30,Male,Shorts,Clothing,Hawaii,Yes,10
61,Male,Coat,Outerwear,Delaware,Yes,37
65,Male,Dress,Clothing,New Hampshire,Yes,31
64,Male,Coat,Outerwear,New York,Yes,34
64,Male,Skirt,Clothing,Rhode Island,Yes,8
25,Male,Sunglasses,Accessories,Alabama,Yes,44
53,Male,Dress,Clothing,Mississippi,Yes,36
52,Male,Sweater,Clothing,Montana,Yes,17
66,Male,Pants,Clothing,Rhode Island,Yes,46
21,Male,Pants,Clothing,Louisiana,Yes,50
31,Male,Pants,Clothing,North Carolina,Yes,22
56,Male,Pants,Clothing,California,Yes,32
31,Male,Pants,Clothing,Oklahoma,Yes,40
18,Male,Jacket,Outerwear,Florida,Yes,16
18,Male,Hoodie,Clothing,Texas,Yes,14
38,Male,Jewelry,Accessories,Nevada,Yes,13
56,Male,Shorts,Clothing,Kentucky,Yes,7
54,Male,Handbag,Accessories,North Carolina,Yes,41
31,Male,Dress,Clothing,Wyoming,Yes,14
57,Male,Jewelry,Accessories,North Carolina,Yes,16
33,Male,Dress,Clothing,West Virginia,Yes,45
36,Male,Jacket,Outerwear,Kansas,Yes,37
54,Male,Pants,Clothing,Colorado,Yes,45
36,Male,T-shirt,Clothing,North Dakota,Yes,38
54,Male,Blouse,Clothing,Massachusetts,Yes,48
35,Male,T-shirt,Clothing,Illinois,Yes,44
35,Male,Jeans,Clothing,Indiana,Yes,10
29,Male,Dress,Clothing,Florida,Yes,44
70,Male,Pants,Clothing,Arizona,Yes,18
69,Male,Handbag,Accessories,Louisiana,Yes,31
67,Male,Scarf,Accessories,Alaska,Yes,40
20,Male,Coat,Outerwear,Tennessee,Yes,15
25,Male,Scarf,Accessories,Ohio,Yes,19
39,Male,Hat,Accessories,Kentucky,Yes,45
50,Male,Socks,Clothing,Tennessee,Yes,25
57,Male,Shirt,Clothing,California,Yes,45
55,Male,Jewelry,Accessories,Montana,Yes,36
